AVG_RANK,AUCTION,NAME,TEAM,BYE,PPR_RANK,STD_RANK,PPR_POSRANK,STD_POSRANK,PPR_AUCTION,STD_AUCTION
1.0 , 59.5 , ADRIAN PETERSON , MIN , 10 , 1 , 1 , RB1 , RB1 , 60 , 59
2.5 , 58.0 , JAMAAL CHARLES , KC , 6 , 2 , 3 , RB2 , RB3 , 59 , 57
2.5 , 58.0 , LESEAN MCCOY , PHI , 7 , 3 , 2 , RB3 , RB2 , 58 , 58
4.0 , 54.5 , MATT FORTE , CHI , 9 , 4 , 4 , RB4 , RB4 , 55 , 54
5.0 , 53.5 , MARSHAWN LYNCH , SEA , 4 , 5 , 5 , RB5 , RB5 , 54 , 53
6.0 , 52.5 , EDDIE LACY , GB , 9 , 6 , 6 , RB6 , RB6 , 53 , 52
7.0 , 51.5 , CALVIN JOHNSON , DET , 9 , 7 , 7 , WR1 , WR1 , 52 , 51
8.5 , 48.5 , PEYTON MANNING , DEN , 4 , 9 , 8 , QB1 , QB1 , 48 , 49
9.0 , 49.0 , JIMMY GRAHAM , NO , 6 , 8 , 10 , TE1 , TE1 , 51 , 47
11.5 , 44.0 , DOUG MARTIN , TB , 7 , 12 , 11 , RB8 , RB8 , 43 , 45
12.0 , 43.5 , DEMARCO MURRAY , DAL , 11 , 11 , 13 , RB7 , RB9 , 45 , 42
12.5 , 43.5 , DEMARYIUS THOMAS , DEN , 4 , 10 , 15 , WR2 , WR2 , 47 , 40
12.5 , 43.5 , ARIAN FOSTER , HOU , 10 , 16 , 9 , RB10 , RB7 , 39 , 48
12.5 , 42.5 , AARON RODGERS , GB , 9 , 13 , 12 , QB2 , QB2 , 42 , 43
14.5 , 40.5 , LE'VEON BELL , PIT , 12 , 15 , 14 , RB9 , RB10 , 40 , 41
16.0 , 39.5 , DEZ BRYANT , DAL , 11 , 14 , 18 , WR3 , WR4 , 41 , 38
17.0 , 39.0 , DREW BREES , NO , 6 , 17 , 17 , QB3 , QB3 , 39 , 39
