RANK,PLAYER,TEAM,BYE,POSRANK,AUCTION
1,ADRIAN PETERSON,MIN,10,RB1,60 
2,JAMAAL CHARLES,KC,6,RB2,59 
3,LESEAN MCCOY,PHI,7,RB3,58 
4,MATT FORTE,CHI,9,RB4,55 
5,MARSHAWN LYNCH,SEA,4,RB5,54 
6,EDDIE LACY,GB,9,RB6,53 
7,CALVIN JOHNSON,DET,9,WR1,52 
8,JIMMY GRAHAM,NO,6,TE1,51 
9,PEYTON MANNING,DEN,4,QB1,48 
10,DEMARYIUS THOMAS,DEN,4,WR2,47 
11,DEMARCO MURRAY,DAL,11,RB7,45 
12,DOUG MARTIN,TB,7,RB8,43 
13,AARON RODGERS,GB,9,QB2,42 
14,DEZ BRYANT,DAL,11,WR3,41 
15,LE'VEON BELL,PIT,12,RB9,40 
16,ARIAN FOSTER,HOU,10,RB10,39 
17,DREW BREES,NO,6,QB3,39 
18,MONTEE BALL,DEN,4,RB11,38 
19,A.J. GREEN,CIN,4,WR4,37 
20,GIOVANI BERNARD,CIN,4,RB12,37 
21,REGGIE BUSH,DET,9,RB13,36 
22,MATTHEW STAFFORD,DET,9,QB4,34 
23,ZAC STACY,STL,4,RB14,33 
24,BRANDON MARSHALL,CHI,9,WR5,32 
25,ANDREW LUCK,IND,10,QB5,32 
26,JULIO JONES,ATL,9,WR6,31 
27,ANTONIO BROWN,PIT,12,WR7,30 
28,JORDY NELSON,GB,9,WR8,30 
29,ALSHON JEFFERY,CHI,9,WR9,29 
30,JULIUS THOMAS,DEN,4,TE2,29 
31,BEN TATE,CLE,4,RB15,28 
32,ALFRED MORRIS,WAS,10,RB16,27 
33,ANDRE ELLINGTON,ARI,4,RB17,26 
34,ANDRE JOHNSON,HOU,10,WR10,25 
35,RANDALL COBB,GB,9,WR11,24 
36,TRENT RICHARDSON,IND,10,RB18,23 
37,VINCENT JACKSON,TB,7,WR12,22 
38,LARRY FITZGERALD,ARI,4,WR13,21 
39,RAY RICE,BAL,11,RB19,20 
40,CAM NEWTON,CAR,12,QB6,19 
41,PIERRE GARCON,WAS,10,WR14,18 
42,KEENAN ALLEN,SD,10,WR15,18 
43,C.J. SPILLER,BUF,9,RB20,17 
44,VICTOR CRUZ,NYG,8,WR16,16 
45,ROB GRONKOWSKI,NE,10,TE3,16 
46,RODDY WHITE,ATL,9,WR17,15 
47,ROBERT GRIFFIN III,WAS,10,QB7,14 
48,SHANE VEREEN,NE,10,RB21,13 
49,VERNON DAVIS,SF,8,TE4,13 
50,RYAN MATHEWS,SD,10,RB22,13 
51,MICHAEL CRABTREE,SF,8,WR18,13 
52,JULIAN EDELMAN,NE,10,WR19,12 
53,FRANK GORE,SF,8,RB23,12 
54,DESEAN JACKSON,WAS,10,WR20,12 
55,CHRIS JOHNSON,NYJ,11,RB24,11 
56,NICK FOLES,PHI,7,QB8,11 
57,REGGIE WAYNE,IND,10,WR21,11 
58,JOIQUE BELL,DET,9,RB25,10 
59,PERCY HARVIN,SEA,4,WR22,10 
60,TOBY GERHART,JAC,11,RB26,10 
61,CORDARRELLE PATTERSON,MIN,10,WR23,9 
62,COLIN KAEPERNICK,SF,8,QB9,9 
