Rank 	Player 	Bye 	Pos. Rank 	Auction
1 	Adrian Peterson, MIN 	10 	RB1 	$60
2 	Jamaal Charles, KC 	6 	RB2 	$59
3 	LeSean McCoy, PHI 	7 	RB3 	$58
4 	Matt Forte, CHI 	9 	RB4 	$55
5 	Marshawn Lynch, SEA 	4 	RB5 	$54
6 	Eddie Lacy, GB 	9 	RB6 	$53
7 	Calvin Johnson, DET 	9 	WR1 	$52
8 	Jimmy Graham, NO 	6 	TE1 	$51
9 	Peyton Manning, DEN 	4 	QB1 	$48
10 	Demaryius Thomas, DEN 	4 	WR2 	$47
11 	DeMarco Murray, DAL 	11 	RB7 	$45
12 	Doug Martin, TB 	7 	RB8 	$43
13 	Aaron Rodgers, GB 	9 	QB2 	$42
14 	Dez Bryant, DAL 	11 	WR3 	$41
15 	Le'Veon Bell, PIT 	12 	RB9 	$40
16 	Arian Foster, HOU 	10 	RB10 	$39
17 	Drew Brees, NO 	6 	QB3 	$39
18 	Montee Ball, DEN 	4 	RB11 	$38
19 	A.J. Green, CIN 	4 	WR4 	$37
20 	Giovani Bernard, CIN 	4 	RB12 	$37
21 	Reggie Bush, DET 	9 	RB13 	$36
22 	Matthew Stafford, DET 	9 	QB4 	$34
23 	Zac Stacy, STL 	4 	RB14 	$33
24 	Brandon Marshall, CHI 	9 	WR5 	$32
25 	Andrew Luck, IND 	10 	QB5 	$32
26 	Julio Jones, ATL 	9 	WR6 	$31
27 	Antonio Brown, PIT 	12 	WR7 	$30
28 	Jordy Nelson, GB 	9 	WR8 	$30
29 	Alshon Jeffery, CHI 	9 	WR9 	$29
30 	Julius Thomas, DEN 	4 	TE2 	$29
31 	Ben Tate, CLE 	4 	RB15 	$28
32 	Alfred Morris, WAS 	10 	RB16 	$27
33 	Andre Ellington, ARI 	4 	RB17 	$26
34 	Andre Johnson, HOU 	10 	WR10 	$25
35 	Randall Cobb, GB 	9 	WR11 	$24
36 	Trent Richardson, IND 	10 	RB18 	$23
37 	Vincent Jackson, TB 	7 	WR12 	$22
38 	Larry Fitzgerald, ARI 	4 	WR13 	$21
39 	Ray Rice, BAL 	11 	RB19 	$20
40 	Cam Newton, CAR 	12 	QB6 	$19
41 	Pierre Garcon, WAS 	10 	WR14 	$18
42 	Keenan Allen, SD 	10 	WR15 	$18
43 	C.J. Spiller, BUF 	9 	RB20 	$17
44 	Victor Cruz, NYG 	8 	WR16 	$16
45 	Rob Gronkowski, NE 	10 	TE3 	$16
46 	Roddy White, ATL 	9 	WR17 	$15
47 	Robert Griffin III, WAS 	10 	QB7 	$14
48 	Shane Vereen, NE 	10 	RB21 	$13
49 	Vernon Davis, SF 	8 	TE4 	$13
50 	Ryan Mathews, SD 	10 	RB22 	$13
51 	Michael Crabtree, SF 	8 	WR18 	$13
52 	Julian Edelman, NE 	10 	WR19 	$12
53 	Frank Gore, SF 	8 	RB23 	$12
54 	DeSean Jackson, WAS 	10 	WR20 	$12
55 	Chris Johnson, NYJ 	11 	RB24 	$11
56 	Nick Foles, PHI 	7 	QB8 	$11
57 	Reggie Wayne, IND 	10 	WR21 	$11
58 	Joique Bell, DET 	9 	RB25 	$10
