Rank 	Player 	Bye 	Pos. Rank 	Auction
1 	Adrian Peterson, MIN 	10 	RB1 	$59
2 	LeSean McCoy, PHI 	7 	RB2 	$58
3 	Jamaal Charles, KC 	6 	RB3 	$57
4 	Matt Forte, CHI 	9 	RB4 	$54
5 	Marshawn Lynch, SEA 	4 	RB5 	$53
6 	Eddie Lacy, GB 	9 	RB6 	$52
7 	Calvin Johnson, DET 	9 	WR1 	$51
8 	Peyton Manning, DEN 	4 	QB1 	$49
9 	Arian Foster, HOU 	10 	RB7 	$48
10 	Jimmy Graham, NO 	6 	TE1 	$47
11 	Doug Martin, TB 	7 	RB8 	$45
12 	Aaron Rodgers, GB 	9 	QB2 	$43
13 	DeMarco Murray, DAL 	11 	RB9 	$42
14 	Le'Veon Bell, PIT 	12 	RB10 	$41
15 	Demaryius Thomas, DEN 	4 	WR2 	$40
16 	A.J. Green, CIN 	4 	WR3 	$39
17 	Drew Brees, NO 	6 	QB3 	$39
18 	Dez Bryant, DAL 	11 	WR4 	$38
19 	Zac Stacy, STL 	4 	RB11 	$37
20 	Brandon Marshall, CHI 	9 	WR5 	$37
21 	Julio Jones, ATL 	9 	WR6 	$36
22 	Jordy Nelson, GB 	9 	WR7 	$34
23 	Alfred Morris, WAS 	10 	RB12 	$33
24 	Alshon Jeffery, CHI 	9 	WR8 	$32
25 	Montee Ball, DEN 	4 	RB13 	$32
26 	Giovani Bernard, CIN 	4 	RB14 	$31
27 	Julius Thomas, DEN 	4 	TE2 	$30
28 	Antonio Brown, PIT 	12 	WR9 	$30
29 	Reggie Bush, DET 	9 	RB15 	$29
30 	Randall Cobb, GB 	9 	WR10 	$29
31 	Andre Johnson, HOU 	10 	WR11 	$28
32 	Ben Tate, CLE 	4 	RB16 	$27
33 	Vincent Jackson, TB 	7 	WR12 	$26
34 	Larry Fitzgerald, ARI 	4 	WR13 	$25
35 	Rob Gronkowski, NE 	10 	TE3 	$24
36 	Pierre Garcon, WAS 	10 	WR14 	$23
37 	Ryan Mathews, SD 	10 	RB17 	$22
38 	Keenan Allen, SD 	10 	WR15 	$22
39 	Matthew Stafford, DET 	9 	QB4 	$21
40 	C.J. Spiller, BUF 	9 	RB18 	$20
41 	Frank Gore, SF 	8 	RB19 	$20
42 	Victor Cruz, NYG 	8 	WR16 	$19
43 	Roddy White, ATL 	9 	WR17 	$18
44 	DeSean Jackson, WAS 	10 	WR18 	$17
45 	Andrew Luck, IND 	10 	QB5 	$17
46 	Andre Ellington, ARI 	4 	RB20 	$16
47 	Percy Harvin, SEA 	4 	WR19 	$15
48 	Cam Newton, CAR 	12 	QB6 	$14
49 	Michael Crabtree, SF 	8 	WR20 	$13
50 	Vernon Davis, SF 	8 	TE4 	$12
51 	Trent Richardson, IND 	10 	RB21 	$12
52 	Toby Gerhart, JAC 	11 	RB22 	$11
53 	Torrey Smith, BAL 	11 	WR21 	$11
54 	Ray Rice, BAL 	11 	RB23 	$10
55 	Rashad Jennings, NYG 	8 	RB24 	$10
56 	Michael Floyd, ARI 	4 	WR22 	$10
57 	Chris Johnson, NYJ 	11 	RB25 	$10
58 	Steven Jackson, ATL 	9 	RB26 	$9
59 	Cordarrelle Patterson, MIN 	10 	WR23 	$9
60 	Joique Bell, DET 	9 	RB27 	$9
61 	Julian Edelman, NE 	10 	WR24 	$8
62 	Robert Griffin III, WAS 	10 	QB7 	$8
63 	Nick Foles, PHI 	7 	QB8 	$8
64 	Jeremy Maclin, PHI 	7 	WR25 	$7
65 	T.Y. Hilton, IND 	10 	WR26 	$7
66 	Shane Vereen, NE 	10 	RB28 	$7
67 	Reggie Wayne, IND 	10 	WR27 	$7
68 	Stevan Ridley, NE 	10 	RB29 	$7
69 	Emmanuel Sanders, DEN 	4 	WR28 	$7
70 	Marques Colston, NO 	6 	WR29 	$6
71 	Colin Kaepernick, SF 	8 	QB9 	$6
72 	Bishop Sankey, TEN 	9 	RB30 	$6
73 	Golden Tate, DET 	9 	WR30 	$6
74 	Kendall Wright, TEN 	9 	WR31 	$5
75 	Jason Witten, DAL 	11 	TE5 	$5
76 	Eric Decker, NYJ 	11 	WR32 	$5
77 	Pierre Thomas, NO 	6 	RB31 	$5
78 	Wes Welker, DEN 	4 	WR33 	$5
79 	Sammy Watkins, BUF 	9 	WR34 	$4
