RANK,PLAYER,TEAM,BYE,POSRANK,AUCTION
1,ADRIAN PETERSON,MIN,10,RB1,59 
2,LESEAN MCCOY,PHI,7,RB2,58 
3,JAMAAL CHARLES,KC,6,RB3,57 
4,MATT FORTE,CHI,9,RB4,54 
5,MARSHAWN LYNCH,SEA,4,RB5,53 
6,EDDIE LACY,GB,9,RB6,52 
7,CALVIN JOHNSON,DET,9,WR1,51 
8,PEYTON MANNING,DEN,4,QB1,49 
9,ARIAN FOSTER,HOU,10,RB7,48 
10,JIMMY GRAHAM,NO,6,TE1,47 
11,DOUG MARTIN,TB,7,RB8,45 
12,AARON RODGERS,GB,9,QB2,43 
13,DEMARCO MURRAY,DAL,11,RB9,42 
14,LE'VEON BELL,PIT,12,RB10,41 
15,DEMARYIUS THOMAS,DEN,4,WR2,40 
16,A.J. GREEN,CIN,4,WR3,39 
17,DREW BREES,NO,6,QB3,39 
18,DEZ BRYANT,DAL,11,WR4,38 
19,ZAC STACY,STL,4,RB11,37 
20,BRANDON MARSHALL,CHI,9,WR5,37 
21,JULIO JONES,ATL,9,WR6,36 
22,JORDY NELSON,GB,9,WR7,34 
23,ALFRED MORRIS,WAS,10,RB12,33 
24,ALSHON JEFFERY,CHI,9,WR8,32 
25,MONTEE BALL,DEN,4,RB13,32 
26,GIOVANI BERNARD,CIN,4,RB14,31 
27,JULIUS THOMAS,DEN,4,TE2,30 
28,ANTONIO BROWN,PIT,12,WR9,30 
29,REGGIE BUSH,DET,9,RB15,29 
30,RANDALL COBB,GB,9,WR10,29 
31,ANDRE JOHNSON,HOU,10,WR11,28 
32,BEN TATE,CLE,4,RB16,27 
33,VINCENT JACKSON,TB,7,WR12,26 
34,LARRY FITZGERALD,ARI,4,WR13,25 
35,ROB GRONKOWSKI,NE,10,TE3,24 
36,PIERRE GARCON,WAS,10,WR14,23 
37,RYAN MATHEWS,SD,10,RB17,22 
38,KEENAN ALLEN,SD,10,WR15,22 
39,MATTHEW STAFFORD,DET,9,QB4,21 
40,C.J. SPILLER,BUF,9,RB18,20 
41,FRANK GORE,SF,8,RB19,20 
42,VICTOR CRUZ,NYG,8,WR16,19 
43,RODDY WHITE,ATL,9,WR17,18 
44,DESEAN JACKSON,WAS,10,WR18,17 
45,ANDREW LUCK,IND,10,QB5,17 
46,ANDRE ELLINGTON,ARI,4,RB20,16 
47,PERCY HARVIN,SEA,4,WR19,15 
48,CAM NEWTON,CAR,12,QB6,14 
49,MICHAEL CRABTREE,SF,8,WR20,13 
50,VERNON DAVIS,SF,8,TE4,12 
51,TRENT RICHARDSON,IND,10,RB21,12 
52,TOBY GERHART,JAC,11,RB22,11 
53,TORREY SMITH,BAL,11,WR21,11 
54,RAY RICE,BAL,11,RB23,10 
55,RASHAD JENNINGS,NYG,8,RB24,10 
56,MICHAEL FLOYD,ARI,4,WR22,10 
57,CHRIS JOHNSON,NYJ,11,RB25,10 
58,STEVEN JACKSON,ATL,9,RB26,9 
59,CORDARRELLE PATTERSON,MIN,10,WR23,9 
60,JOIQUE BELL,DET,9,RB27,9 
61,JULIAN EDELMAN,NE,10,WR24,8 
62,ROBERT GRIFFIN III,WAS,10,QB7,8 
63,NICK FOLES,PHI,7,QB8,8 
64,JEREMY MACLIN,PHI,7,WR25,7 
65,T.Y. HILTON,IND,10,WR26,7 
66,SHANE VEREEN,NE,10,RB28,7 
67,REGGIE WAYNE,IND,10,WR27,7 
68,STEVAN RIDLEY,NE,10,RB29,7 
69,EMMANUEL SANDERS,DEN,4,WR28,7 
70,MARQUES COLSTON,NO,6,WR29,6 
71,COLIN KAEPERNICK,SF,8,QB9,6 
72,BISHOP SANKEY,TEN,9,RB30,6 
73,GOLDEN TATE,DET,9,WR30,6 
74,KENDALL WRIGHT,TEN,9,WR31,5 
75,JASON WITTEN,DAL,11,TE5,5 
76,ERIC DECKER,NYJ,11,WR32,5 
77,PIERRE THOMAS,NO,6,RB31,5 
78,WES WELKER,DEN,4,WR33,5 
79,SAMMY WATKINS,BUF,9,WR34,4 
80,MAURICE JONES-DREW,OAK,5,RB32,4 
81,MIKE WALLACE,MIA,5,WR35,4 
82,TERRANCE WILLIAMS,DAL,11,WR36,4 
83,CECIL SHORTS,JAC,11,WR37,4 
84,FRED JACKSON,BUF,9,RB33,4 
